Program ID,Ledger ID key,Program Name,Ceded ID,UMR,Trading Partner,Premium Type,Partner/Deal Name,Direct ID,Ceded Percentage,Fronting Commission %,Brokerage Commission %,Ceded UW Year,ULAE IBNR Cession,ULAE Reserves Cession,Ceded Commission %,Effective Date,Expiration Date,Ceding Commission,Excess Ceding Commission,Hadron Brokerage Comission,TPA Fee / ULAE Cession,Lower Limit Exclusion,Higher Limit Exclusion,Attachment Point,Layer Limit,Placement %
AUM- CX0,CX0ARC,AUM,CX0ARC,AUM1,AUM,QS,,DX0GAX,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-01-01,2024-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX1ARC,AUM,CX1ARC,AUM2,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2024-07-01,2024-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX1ARC,AUM - Bolt - On,CX1ARC,AUM2,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2024-07-01,2024-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX2ARC,AUM,CX2ARC ST,AUM3,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-01-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX2ARC,AUM - Bolt - On,CX2ARC ST,AUM3,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-01-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX2ARC,AUM,CX2ARC LT,AUM3,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-01-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX2ARC,AUM - Bolt - On,CX2ARC LT,AUM3,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-01-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX3ARC,AUM,CX3ARC ST,AUM4,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-04-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX3ARC,AUM - Bolt - On,CX3ARC ST,AUM4,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-04-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX3ARC,AUM,CX3ARC LT,AUM4,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-04-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX3ARC,AUM - Bolt - On,CX3ARC LT,AUM4,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-04-01,2025-06-30,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX4ARC,AUM,CX4ARC ST,AUM5,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-07-01,2025-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX4ARC,AUM - Bolt - On,CX4ARC ST,AUM5,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-07-01,2025-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX4ARC,AUM,CX4ARC LT,AUM5,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-07-01,2025-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX4ARC,AUM - Bolt - On,CX4ARC LT,AUM5,AUM,QS,,DX0000,1.0,0.055,0.005,2024,0.0,0.0,0.375,2025-07-01,2025-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX5ARC,AUM,CX5ARC ST,AUM6,AUM,QS,,DX0000,1.0,0.055,0.005,2025,0.0,0.0,0.375,2026-01-01,2026-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX5ARC,AUM - Bolt - On,CX5ARC ST,AUM6,AUM,QS,,DX0000,1.0,0.055,0.005,2025,0.0,0.0,0.375,2026-01-01,2026-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX5ARC,AUM,CX5ARC LT,AUM6,AUM,QS,,DX0000,1.0,0.055,0.005,2025,0.0,0.0,0.375,2026-01-01,2026-12-31,0.375,0.055,0.005,0,,,,,
AUM- CX0,CX5ARC,AUM - Bolt - On,CX5ARC LT,AUM6,AUM,QS,,DX0000,1.0,0.055,0.005,2025,0.0,0.0,0.375,2026-01-01,2026-12-31,0.375,0.055,0.005,0,,,,,
COR - CX0,CX0COR,CORE QS,CX0COR,HSIC-1COR01-2025-10,COR,QS,Core Programs - Property,DX0COR,0.9,0.05,0.0,2025,0.0,0.0,0.21,2025-10-01,2026-09-30,0.21,0.05,0,0,0,2500000,,,
COR - CX0,CE0COR,CORE EB,CE0COR,HSIC-1COR01-2025-10,COR,EB,Core Programs - Property,DX0COR,1.0,0.14,0.0,2025,0.0,0.0,0.21,2025-10-01,2026-09-30,0.21,0.14,0,0,0,2500000,,,
COR - CX0,CF0COR,CORE FAC,CF0COR,HSIC-1COR01-2025-10,COR,FAC,Core Programs - Property,DX0COR,1.0,0.05,0.0,2025,0.0,0.0,0.0,2025-10-01,2026-09-30,,,0,0,2500000,17500000,,,
HVL-CX0,CX0HVL,HVL,CX0HVL,HSICOMT01,,QS,Home Value Lock,DX0000,1.0,0.065,0.0,2024,0.0,0.0,0.25,2024-09-01,2025-08-31,0.25,0.065,0,0,,,,,
HVL-CX0,CX1HVL,HVL,CX1HVL,HSICOMT02,,QS,Home Value Lock Year 2,DX0000,0.5,0.065,0.0,2025,0.0,0.0,0.25,2025-09-01,2026-08-31,0.25,0.065,0,0,,,,,
LFS-CX0,CX0LFS,Ledgebrook Flagship,CX0LFS,HSIC-1LEDG04-2026-01,,QS,Ledgebrook - PL,DX0LPL,0.8,0.05,0.0,2026,0.0,0.0,0.235,2026-01-01,2026-12-31,0.215,0.05,0,0,,,,,
LFS-CX0,CX0LFS,Ledgebrook Flagship,CX0LFS,HSIC-1LEDG04-2026-01,,QS,Ledgebrook - PL,DX0LPL,0.8,0.05,0.0,2026,0.0,0.0,0.235,2026-01-01,2026-12-31,0.215,0.06,0,0,,,,,
LLC-CX0,CX0LLC,Ledgebrook Large Casualty,CX0LLC,HSIC-1LEDG03-2026-01,,QS,Ledgebrook - Flagship II,DX0LFS,0.8,0.0534375,0.0,2026,0.0,0.0,0.215,2026-01-01,2026-12-31,0.22,0.05,0,0,,,,,
LLC-CX0,CX0LLC,Ledgebrook Large Casualty,CX0LLC,HSIC-1LEDG03-2026-01,,QS,Ledgebrook - Flagship II,DX0LFS,0.8,0.0534375,0.0,2026,0.0,0.0,0.215,2026-01-01,2026-12-31,0.28,0.05,0,0,,,,,
LLC-CX0,CX0LLC,Ledgebrook Large Casualty,CX0LLC,HSIC-1LEDG03-2026-01,,QS,Ledgebrook - Flagship II,DX0LFS,0.8,0.0534375,0.0,2026,0.0,0.0,0.215,2026-01-01,2026-12-31,0.22,0.055,0,0,,,,,
LPL-CX0,CX0LPL,Ledgebrook PL,CX0LPL,HSIC-1LEDG01-2026-01,,QS,Steadily,DX0STE,0.775,0.05,0.0,2026,0.0,0.7097,0.2271,2026-01-01,2026-12-31,0.235,0.05,0,0,,,,,
STE-CX0,CX0STE,Steadily,CX0STE,HSIC-1SDLY01-2026-01,,QS,Core Programs - GL,DX0COR,0.0,0.0,0.0,2025,0.0,0.0,0.0,2026-01-01,2026-12-31,0.23,0.05,0,1,,,,,
STE-CX1,CX0STE,Steadily,CX0STE,HSIC-1SDLY01-2026-01,,QS,Core Programs - GL,DX0COR,0.0,0.0,0.0,2025,0.0,0.0,0.0,2026-01-01,2026-12-31,0.2,0.07,0,0,,,,,
LCY-CX0,CX0LCY,Ledgebrook Cyber,CX0LCY,HSIC-1LEDG02-2026-01,,QS,Ledgebrook - Large Casuality,DX0LLC,0.8,0.05125,0.0,2026,0.0,0.0,0.25875,2026-05-01,2027-04-30,0.235,0.05,0,0,,,,,
LCY-CX1,CX0LCY,Ledgebrook Cyber,CX0LCY,HSIC-1LEDG02-2026-01,,QS,Ledgebrook - Large Casuality,DX0LLC,0.8,0.05125,0.0,2026,0.0,0.0,0.25875,2026-05-01,2027-04-30,0.235,0.055,0,0,,,,,
