Reinsurer,Period,Collateral Amount,Collateral Type,Additional Cash as Collateral
ARC 1,2024-12-31,20439538.87,Trust,
ARC 1,2025-03-31,120069.3,Trust,
ARC 1,2025-06-30,3657847.710000001,Trust,
ARC 1,2025-07-31,3270253.3600000013,Trust,
ARC 1,2025-09-30,405816.7800000012,Trust,
ARC 1,2025-10-31,371732.1899999976,Trust,
ARC 1,2025-11-30,283121.8400000036,Trust,
ARC 1,2025-12-31,-17671211.4,Trust,
Allianz (ARC),2025-06-30,10817795.09,Trust,
Allianz (ARC),2025-07-31,7288991.92,Trust,
Allianz (ARC),2025-08-31,9017241.189999998,Trust,
Fergus,2024-12-31,3152297.0,Trust,
Fergus,2025-03-31,21222.75,Trust,
Fergus,2025-06-30,2885626.8900000006,Trust,
Fergus,2025-07-31,2171675.169999999,Trust,
Fergus,2025-09-30,72744.99000000022,Trust,
Fergus,2025-10-31,2191643.4300000006,Trust,
Fergus,2025-11-30,-4717.9000000003725,Trust,
Fergus,2025-12-31,9551.25,Trust,
Flywheel,2025-09-30,31283151.03,Trust,
Flywheel,2025-10-31,105862.32999999821,Trust,
Flywheel,2025-11-30,107203.93999999762,Trust,
Flywheel,2025-12-31,100062.53000000119,Trust,
Gryphon,2024-12-31,1082273.0,LOC,
Jaffa,2025-12-31,8725820.0,Trust,
Multistrat Alimco,2024-12-31,5178774.0,Trust,
Multistrat Alimco,2025-03-31,-60405.34,Trust,
Multistrat Alimco,2025-06-30,5023559.5,Trust,
Multistrat Alimco,2025-09-30,3643932.790000001,Trust,
Multistrat Alimco,2025-10-31,3960720.4299999997,Trust,
Multistrat Alimco,2025-11-30,-36665.300000000745,Trust,
Multistrat Alimco,2025-12-31,12438.280000001192,Trust,
Multistrat Fermat,2025-10-31,6216234.0,Trust,
Multistrat Fermat,2025-01-31,5956333.91,Trust,
Multistrat Fermat,2025-04-30,144035.02,Trust,
Multistrat Fermat,2025-05-31,4365387.25,Trust,
Multistrat Fermat,2025-07-31,142411.6400000006,Trust,
Multistrat Fermat,2025-08-31,1003383.2300000004,Trust,
Multistrat Fermat,2025-09-30,12185.959999997169,Trust,
Multistrat Fermat,2025-10-31,144655.2400000021,Trust,
Ocean,2025-12-31,10465458.5,LOC,
RVI,2024-12-31,,Cash FWH Deposit,2251641.0
Northern Re,2025-12-31,1678769.68,Trust,
Multistrat Fermat,2026-02-28,1876010.7399999984,Trust,
Multistrat Alimco,2026-02-28,3305516.8900000006,Trust,
Fergus,2026-02-28,2125055.9700000007,Trust,
Allianz (ARC),2026-02-28,6096965.329999998,Trust,
Flywheel,2026-02-28,196016.9200000018,Trust,
Northern Re,2026-02-28,197924.65000000014,Trust,
Jaffa,2026-02-28,1045370.4900000002,Trust,
Flywheel,2026-03-31,86789.20000000298,Trust,
Multistrat Fermat,2026-03-31,3310061.8900000006,Trust,
Multistrat Alimco,2026-03-31,-47707.63000000268,Trust,
Fergus,2026-03-31,63995.16000000015,Trust,
Jaffa,2026-03-31,7908356.339999998,Trust,
Allianz (ARC),2026-03-31,109564.57999999821,Trust,
