ce_id,contract_id,rule_id,effective_from,effective_to,applies_to_lob_id,source_program,rule_type,rule_value,comparison_op
1,CX1ARC,1,2024-07-01 00:00:00,,,AUM,LOB,Cyber,=
2,CX1ARC,3,2024-07-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
3,CX1ARC,2,2024-07-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
4,CX1ARC,4,2024-07-01 00:00:00,,,AUM,LOB,Flood,=
5,CX1ARC,6,2024-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
6,CX1ARC,8,2024-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
7,CX1ARC,7,2024-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
8,CX1ARC,9,2024-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
9,CX2ARC ST,1,2025-01-01 00:00:00,,,AUM,LOB,Cyber,=
10,CX2ARC ST,3,2025-01-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
11,CX2ARC ST,2,2025-01-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
12,CX2ARC ST,4,2025-01-01 00:00:00,,,AUM,LOB,Flood,=
13,CX2ARC ST,11,2025-01-01 00:00:00,,,AUM,MGA,RISK,NOT_IN
14,CX2ARC ST,10,2025-01-01 00:00:00,,,AUM,MGA,BRWN,NOT_IN
15,CX2ARC ST,6,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
16,CX2ARC ST,8,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
17,CX2ARC ST,7,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
18,CX2ARC ST,9,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
19,CX2ARC LT,1,2025-01-01 00:00:00,,,AUM,LOB,Cyber,=
20,CX2ARC LT,3,2025-01-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
21,CX2ARC LT,2,2025-01-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
22,CX2ARC LT,4,2025-01-01 00:00:00,,,AUM,LOB,Flood,=
23,CX2ARC LT,13,2025-01-01 00:00:00,,,AUM,MGA,RISK,IN
24,CX2ARC LT,12,2025-01-01 00:00:00,,,AUM,MGA,BRWN,IN
25,CX2ARC LT,6,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
26,CX2ARC LT,8,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
27,CX2ARC LT,7,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
28,CX2ARC LT,9,2025-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
29,CX3ARC ST,1,2025-04-01 00:00:00,,,AUM,LOB,Cyber,=
30,CX3ARC ST,3,2025-04-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
31,CX3ARC ST,2,2025-04-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
32,CX3ARC ST,4,2025-04-01 00:00:00,,,AUM,LOB,Flood,=
33,CX3ARC ST,11,2025-04-01 00:00:00,,,AUM,MGA,RISK,NOT_IN
34,CX3ARC ST,10,2025-04-01 00:00:00,,,AUM,MGA,BRWN,NOT_IN
35,CX3ARC ST,6,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
36,CX3ARC ST,8,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
37,CX3ARC ST,7,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
38,CX3ARC ST,9,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
39,CX3ARC LT,1,2025-04-01 00:00:00,,,AUM,LOB,Cyber,=
40,CX3ARC LT,3,2025-04-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
41,CX3ARC LT,2,2025-04-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
42,CX3ARC LT,4,2025-04-01 00:00:00,,,AUM,LOB,Flood,=
43,CX3ARC LT,13,2025-04-01 00:00:00,,,AUM,MGA,RISK,IN
44,CX3ARC LT,12,2025-04-01 00:00:00,,,AUM,MGA,BRWN,IN
45,CX3ARC LT,6,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
46,CX3ARC LT,8,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
47,CX3ARC LT,7,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
48,CX3ARC LT,9,2025-04-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
49,CX4ARC ST,1,2025-07-01 00:00:00,,,AUM,LOB,Cyber,=
50,CX4ARC ST,3,2025-07-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
51,CX4ARC ST,2,2025-07-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
52,CX4ARC ST,4,2025-07-01 00:00:00,,,AUM,LOB,Flood,=
53,CX4ARC ST,11,2025-07-01 00:00:00,,,AUM,MGA,RISK,NOT_IN
54,CX4ARC ST,10,2025-07-01 00:00:00,,,AUM,MGA,BRWN,NOT_IN
55,CX4ARC ST,6,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
56,CX4ARC ST,8,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
57,CX4ARC ST,7,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
58,CX4ARC ST,9,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
59,CX4ARC LT,1,2025-07-01 00:00:00,,,AUM,LOB,Cyber,=
60,CX4ARC LT,3,2025-07-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
61,CX4ARC LT,2,2025-07-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
62,CX4ARC LT,4,2025-07-01 00:00:00,,,AUM,LOB,Flood,=
63,CX4ARC LT,13,2025-07-01 00:00:00,,,AUM,MGA,RISK,IN
64,CX4ARC LT,12,2025-07-01 00:00:00,,,AUM,MGA,BRWN,IN
65,CX4ARC LT,6,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
66,CX4ARC LT,8,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
67,CX4ARC LT,7,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
68,CX4ARC LT,9,2025-07-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
69,CX5ARC ST,1,2026-01-01 00:00:00,,,AUM,LOB,Cyber,=
70,CX5ARC ST,3,2026-01-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
71,CX5ARC ST,2,2026-01-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
72,CX5ARC ST,4,2026-01-01 00:00:00,,,AUM,LOB,Flood,=
73,CX5ARC ST,11,2026-01-01 00:00:00,,,AUM,MGA,RISK,NOT_IN
74,CX5ARC ST,10,2026-01-01 00:00:00,,,AUM,MGA,BRWN,NOT_IN
75,CX5ARC ST,6,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
76,CX5ARC ST,8,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
77,CX5ARC ST,7,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
78,CX5ARC ST,9,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
79,CX5ARC LT,1,2026-01-01 00:00:00,,,AUM,LOB,Cyber,=
80,CX5ARC LT,3,2026-01-01 00:00:00,,,AUM,LOB,Equipment Breakdown,=
81,CX5ARC LT,2,2026-01-01 00:00:00,,,AUM,LOB,Employment Practices Liability,=
82,CX5ARC LT,4,2026-01-01 00:00:00,,,AUM,LOB,Flood,=
83,CX5ARC LT,13,2026-01-01 00:00:00,,,AUM,MGA,RISK,IN
84,CX5ARC LT,12,2026-01-01 00:00:00,,,AUM,MGA,BRWN,IN
85,CX5ARC LT,6,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Cyber,IN
86,CX5ARC LT,8,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Equipment Breakdown,IN
87,CX5ARC LT,7,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Employment Practices Liability,IN
88,CX5ARC LT,9,2026-01-01 00:00:00,,,AUM - Bolt - On,BOLT_ON,Flood,IN
89,CX0COR,3,2025-10-01 00:00:00,,,CORE QS,LOB,Equipment Breakdown,=
90,CX0COR,5,2025-10-01 00:00:00,,,CORE QS,LOB,General Liability,=
91,CX0COR,14,2025-10-01 00:00:00,,,CORE QS,TERM_LIMIT,0,>
92,CX0COR,16,2025-10-01 00:00:00,,,CORE QS,TERM_LIMIT,2500000,<
93,CE0COR,8,2025-10-01 00:00:00,,,CORE EB,BOLT_ON,Equipment Breakdown,IN
94,CE0COR,14,2025-10-01 00:00:00,,,CORE EB,TERM_LIMIT,0,>
95,CE0COR,16,2025-10-01 00:00:00,,,CORE EB,TERM_LIMIT,2500000,<
96,CF0COR,3,2025-10-01 00:00:00,,,CORE FAC,LOB,Equipment Breakdown,=
97,CF0COR,15,2025-10-01 00:00:00,,,CORE FAC,TERM_LIMIT,2500000,>
98,CF0COR,17,2025-10-01 00:00:00,,,CORE FAC,TERM_LIMIT,17500000,<
