rule_id,rule_code,rule_type,rule_value,comparison_op,description,geo_scope
1,LOB_EXCL_CYBER,LOB,Cyber,=,Exclude Cyber line of business,US
2,LOB_EXCL_EMPLOYMENT_PRACTICES_LIABILITY,LOB,Employment Practices Liability,=,Exclude Employment Practices Liability,US
3,LOB_EXCL_EQUIPMENT_BREAKDOWN,LOB,Equipment Breakdown,=,Exclude Equipment Breakdown line of business,US
4,LOB_EXCL_FLOOD,LOB,Flood,=,Exclude Flood line of business,US
5,LOB_EXCL_GENERAL_LIABILITY,LOB,General Liability,=,Exclude General Liability line of business,US
6,BOLT_ON_CYBER,BOLT_ON,Cyber,IN,Bolt-on inclusion: Cyber only,US
7,BOLT_ON_EMPLOYMENT_PRACTICES_LIABILITY,BOLT_ON,Employment Practices Liability,IN,Bolt-on inclusion: EPL only,US
8,BOLT_ON_EQUIPMENT_BREAKDOWN,BOLT_ON,Equipment Breakdown,IN,Bolt-on inclusion: Equipment Breakdown only,US
9,BOLT_ON_FLOOD,BOLT_ON,Flood,IN,Bolt-on inclusion: Flood only,US
10,MGA_EXCL_BRWN,MGA,BRWN,NOT_IN,Exclude MGA partner BRWN,US
11,MGA_EXCL_RISK,MGA,RISK,NOT_IN,Exclude MGA partner RISK,US
12,MGA_INCL_BRWN,MGA,BRWN,IN,Include only MGA partner BRWN,US
13,MGA_INCL_RISK,MGA,RISK,IN,Include only MGA partner RISK,US
14,LIMIT_MIN_0,TERM_LIMIT,0,>,Policy limit floor $0,US
15,LIMIT_MIN_2500000,TERM_LIMIT,2500000,>,"Policy limit floor $2,500,000",US
16,LIMIT_MAX_2500000,TERM_LIMIT,2500000,<,"Policy limit ceiling $2,500,000",US
17,LIMIT_MAX_17500000,TERM_LIMIT,17500000,<,"Policy limit ceiling $17,500,000",US
18,LOB_INCL_MARINE,LOB,Marine,IN,Include Marine LOB for XOL treaty,US
19,LOB_INCL_PROPERTY,LOB,Commercial Property,IN,Include Commercial Property LOB for XOL treaty,US
20,LOB_INCL_PROPERTY_CAT,LOB,Commercial Property,IN,Include Commercial Property LOB for Cat XOL treaty,US
21,LOB_INCL_TERRORISM,LOB,Terrorism,IN,Include Terrorism LOB for XOL treaty,US
1,CX1ARC,1,2024-07-01 00:00:00,,,AUM
2,CX1ARC,3,2024-07-01 00:00:00,,,AUM
3,CX1ARC,2,2024-07-01 00:00:00,,,AUM
4,CX1ARC,4,2024-07-01 00:00:00,,,AUM
5,CX1ARC,6,2024-07-01 00:00:00,,,AUM - Bolt - On
6,CX1ARC,8,2024-07-01 00:00:00,,,AUM - Bolt - On
7,CX1ARC,7,2024-07-01 00:00:00,,,AUM - Bolt - On
8,CX1ARC,9,2024-07-01 00:00:00,,,AUM - Bolt - On
9,CX2ARC ST,1,2025-01-01 00:00:00,,,AUM
10,CX2ARC ST,3,2025-01-01 00:00:00,,,AUM
11,CX2ARC ST,2,2025-01-01 00:00:00,,,AUM
12,CX2ARC ST,4,2025-01-01 00:00:00,,,AUM
13,CX2ARC ST,11,2025-01-01 00:00:00,,,AUM
14,CX2ARC ST,10,2025-01-01 00:00:00,,,AUM
15,CX2ARC ST,6,2025-01-01 00:00:00,,,AUM - Bolt - On
16,CX2ARC ST,8,2025-01-01 00:00:00,,,AUM - Bolt - On
17,CX2ARC ST,7,2025-01-01 00:00:00,,,AUM - Bolt - On
18,CX2ARC ST,9,2025-01-01 00:00:00,,,AUM - Bolt - On
19,CX2ARC LT,1,2025-01-01 00:00:00,,,AUM
20,CX2ARC LT,3,2025-01-01 00:00:00,,,AUM
21,CX2ARC LT,2,2025-01-01 00:00:00,,,AUM
22,CX2ARC LT,4,2025-01-01 00:00:00,,,AUM
23,CX2ARC LT,13,2025-01-01 00:00:00,,,AUM
24,CX2ARC LT,12,2025-01-01 00:00:00,,,AUM
25,CX2ARC LT,6,2025-01-01 00:00:00,,,AUM - Bolt - On
26,CX2ARC LT,8,2025-01-01 00:00:00,,,AUM - Bolt - On
27,CX2ARC LT,7,2025-01-01 00:00:00,,,AUM - Bolt - On
28,CX2ARC LT,9,2025-01-01 00:00:00,,,AUM - Bolt - On
29,CX3ARC ST,1,2025-04-01 00:00:00,,,AUM
30,CX3ARC ST,3,2025-04-01 00:00:00,,,AUM
31,CX3ARC ST,2,2025-04-01 00:00:00,,,AUM
