Reinsurer,Period,FET Payable
Multistrat Fermat,2025-03-31,240186.36
Multistrat Fermat,2025-04-30,-103848.19
Multistrat Fermat,2025-05-31,-82850.9186
Multistrat Fermat,2025-06-30,65880.13619127199
Multistrat Fermat,2025-07-31,-119367.025791272
Multistrat Fermat,2025-09-30,65923.0835410826
CCM,2025-09-30,27018.58055365035
CCM,2025-10-31,-27018.5805536504
CCM,2025-12-31,70668.67650044693
Fergus,2025-06-30,160500.58
Fergus,2025-07-31,-53308.74
Fergus,2025-08-31,-42530.1401
Fergus,2025-09-30,42949.293765317416
Fergus,2025-10-31,-107611.293765317
Fergus,2025-12-31,22001.262479706464
Northern Re,2025-12-31,25104.878877598992
Ocean,2025-06-30,114643.27
Ocean,2025-07-31,-38077.67
Ocean,2025-08-31,-30378.6722
Ocean,2025-09-30,29759.208108095714
Ocean,2025-10-31,-75946.2081080957
Ocean,2025-12-31,14611.676326049695
RVI,2025-06-30,114643.27
RVI,2025-07-31,-38077.67
RVI,2025-08-31,-30378.6722
RVI,2025-09-30,31367.45695057491
RVI,2025-10-31,-77554.4569505749
RVI,2025-12-31,-146010.8005505749
Hale Partners,2025-12-31,-17369.09
MultiStrat Fermat,2026-02-28,-65923.0835410826
Fergus,2026-02-28,-22001.2624797065
RVI,2026-02-28,146010.800550575
Ocean,2026-02-28,-14611.6763260497
CCM,2026-02-28,-70668.6765004469
Hale Partners,2026-02-28,17369.0874987752
Northern Re,2026-02-28,-25104.878877599
MultiStrat Fermat,2026-03-31,66299.1049855969
Fergus,2026-03-31,23114.627168372535
Ocean,2026-03-31,15427.543335226772
CCM,2026-03-31,24636.080639475964
Northern Re,2026-03-31,52304.294171502814
