Ceded ID,Reinsurer ID,Reinsurer,Effective Date,Ceded %,Cession Comm %,UEP Requirement,IBNR Requirement,Collateral Type,Sched F Required Reserves,FWH,FWH Rate,Losses,% of Reserves Req,MGA Commission,Effective FF,Effective FWH
CX1ARC,R01,IQUW,2024-07-01 00:00:00,0,0.43,0,0,,0,1,,0,0,0.375,0.05499999999999999,1
CX1ARC,R02,QBE,2024-07-01 00:00:00,0,0.43,0,0,,0,1,,0,0,0.375,0.05499999999999999,1
CX2ARC ST,R03,ARC 1,2025-01-01 00:00:00,0,0.43,1,1,FWH + Trust,1,1,,0,0,0.375,0.05499999999999999,1
CX2ARC LT,R04,Multistrat Fermat,2025-01-01 00:00:00,0.0495,0.43,1.02,1.1,Trust,1,1,,0,0,0.375,0.05499999999999999,1
CX3ARC ST,R05,Multistrat Alimco,2025-04-01 00:00:00,0.073542546,0.43,1.02,1.1,Trust,1,1,,0,0,0.375,0.05499999999999999,1
CX3ARC LT,R06,Allianz (ARC),2025-04-01 00:00:00,0.212625,0.43,1,1,FWH + Trust,1,1,0.04586,0,0,0.375,0.05499999999999999,1
CX4ARC ST,R07,Fergus,2025-07-01 00:00:00,0.01776888,0.43,1.02,1.1,Trust,1,1,0.0417,0,0,0.375,0.05499999999999999,1
CX4ARC LT,R08,Palms,2025-07-01 00:00:00,0.0575092,0.43,0,0,,0,1,0.0125,0,0,0.375,0.05499999999999999,1
CX5ARC ST,R09,ICW,2026-01-01 00:00:00,0.0229737892,0.43,0,0,,0,1,,0,0,0.375,0.05499999999999999,1
CX5ARC LT,R10,Hannover,2026-01-01 00:00:00,0.11205599999999999,0.43,0.1,0.1,,0.1,1,,0,0,0.375,0.05499999999999999,1
CX0COR,R11,Arch Capital,2025-07-01 00:00:00,0.0825,0.43,1.02,1.1,Trust,1,1,0.0392,0,0,0.375,0.055,1
CX0COR,R12,Swiss Re,2025-07-01 00:00:00,0.135,0.43,1,1,FWH + Trust,1,1,0.0448,0,0,0.375,0.055,1
CF0COR,R11,Arch Capital,2025-07-01 00:00:00,0.0642,0.43,1,1,FWH + Trust,1,1,0.0415,0,0,0.375,0.055,1
CF0COR,R12,Swiss Re,2025-07-01 00:00:00,0.1185,0.43,1.02,1.1,Trust,1,1,0.0368,0,0,0.375,0.055,1
