Period Settled,Date Settled,Reinsurer,Settlement Amount,Type
2025-02-28,2025-02-27,ANIC,1485379.91,Q3 and Q4 2024
2025-03-31,2025-03-20,Multistrat Fermat,5900615.231,Q3 and Q4 2024
2025-03-31,2025-03-20,Palms,3028982.5199999996,Q3 and Q4 2024
2025-03-31,2025-03-20,Ocean,73489.91,Q3 and Q4 2024
2025-03-31,2025-03-20,Hannover,6490677.009999999,Q3 and Q4 2024
2025-03-31,2025-03-20,ICW,5192541.820000001,Q3 and Q4 2024
2025-03-31,2025-03-20,Fergus,2975673.7799999993,Q3 and Q4 2024
2025-03-31,2025-03-20,Multistrat Alimco,4976185.66,Q3 and Q4 2024
2025-03-31,2025-03-20,RVI,53308.74,Q3 and Q4 2024
2025-03-31,2025-03-20,Gryphon,26654.37,Q3 and Q4 2024
2025-03-31,2025-03-27,ANIC,39717.8,January 2025 Settlement
2025-04-30,2025-04-29,Fergus,-2975664.78,Q3 and Q4 2024 Return
2025-04-30,2025-04-29,Multistrat Alimco,-4976176.66,Q3 and Q4 2024 Return
2025-04-30,2025-04-29,ANIC,152864.78,February 2025 Settlement
2025-04-30,2025-04-29,Allianz (ARC),10817795.090000002,Q3 and Q4 2024
2025-04-30,2025-04-29,ARC 2,4327118.02,Q3 and Q4 2024
2025-04-30,2025-04-30,Fergus,2975673.7799999993,Q3 and Q4 2024
2025-04-30,2025-04-30,Multistrat Alimco,4976185.66,Q3 and Q4 2024
2025-05-31,2025-05-28,ANIC,371321.35,March 2025 Settlement
2025-06-30,2025-06-25,ANIC,35209.15,April 2025 Settlement
2025-07-31,2025-07-02,Multistrat Fermat,4317810.81,Q1 2025 AUM Settlement
2025-07-31,2025-07-02,Fergus,2135610.55,Q1 2025 AUM Settlement
2025-07-31,2025-07-02,Multistrat Alimco,3700983.95,Q1 2025 AUM Settlement
2025-07-31,2025-07-02,Allianz (ARC),702732.3200000001,Q1 2025 AUM Settlement
2025-07-31,2025-07-02,Allianz (ARC),7288991.920000003,Q1 2025 AUM Settlement
2025-07-31,2025-07-25,ARC 2,3270253.36,Q1 2025 AUM Settlement
2025-07-31,2025-07-22,ANIC,340114.37,May 2025 Settlement
2025-08-31,2025-08-26,ANIC,623020.29,June 2025 Settlement
2025-09-30,2025-09-23,ANIC,518534.79,July 2025 Settlement
2025-10-31,2025-10-20,ANIC,247102.19,August 2025 Settlement
2025-10-31,2025-10-24,Multistrat Fermat,939113.31,Q2 2025 AUM Settlement
2025-10-31,2025-10-24,Fergus,2217537.02,Q2 2025 AUM Settlement
2025-10-31,2025-10-24,Multistrat Alimco,3718753.9299999997,Q2 2025 AUM Settlement
2025-10-31,2025-10-24,ARC 2,3325673.03,Q2 2025 AUM Settlement
2025-10-31,2025-10-24,Allianz (ARC),2251208.52,Q2 2025 AUM Settlement
2025-10-31,2025-10-24,Allianz (ARC),6063300.349999994,Q2 2025 AUM Settlement
2025-10-31,2025-10-27,IQUW,193888.55,Q1 2025 AUM Settlement
2025-10-31,2025-10-27,IQUW,906204.9500000001,Q2 2025 AUM Settlement
2025-11-30,2025-11-21,ANIC,245624.62329999998,September 2025 Settlement
2025-10-31,2025-10-27,QBE,986921.0100000001,Q1 2025 AUM Settlement
2025-10-31,2025-10-27,QBE,4679504.900000001,Q2 2025 AUM Settlement
2025-11-30,2025-11-01,QBE,-986921.01,Q1 2025 AUM Settlement
2025-11-30,2025-11-01,QBE,-4679504.9,Q2 2025 AUM Settlement
2025-12-31,2025-12-17,ANIC,508581.86,October 2025 Settlement
2025-07-31,2025-07-31,Multistrat Fermat,103848.1918,Q3 & Q4 FET
2025-07-31,2025-07-31,Fergus,53308.74,Q3 & Q4 FET
2025-07-31,2025-07-31,RVI,38077.6714,Q3 & Q4 FET
2025-07-31,2025-07-31,Ocean,38077.6714,Q3 & Q4 FET
2025-08-31,2025-08-01,Multistrat Fermat,82850.91859999999,Q1 2025 FET
2025-08-31,2025-08-01,Fergus,42530.1401,Q1 2025 FET
2025-08-31,2025-08-01,RVI,30378.6722,Q1 2025 FET
2025-08-31,2025-08-01,Ocean,30378.6722,Q1 2025 FET
2025-10-31,2025-10-27,Multistrat Fermat,119367.02579127203,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,Fergus,107611.29376531742,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,RVI,77554.45695057491,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,Ocean,75946.20810809571,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,CCM,27018.58055365035,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,Hale Partners,17369.08749877522,Q2 + Q3 2025 FET
2025-10-31,2025-10-27,Northern Re,20907.234952229435,Q2 + Q3 2025 FET
2026-01-31,2026-01-20,ANIC,363834.87,November 2025 Settlement
2026-02-28,2026-02-07,QBE,986921.0100000001,Q1 2025 AUM Settlement
2026-02-28,2026-02-07,QBE,4679504.900000001,Q2 2025 AUM Settlement
2025-07-31,2025-07-03,Palms,2312315.1199999996,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,Ocean,58630.84,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,Hannover,4954960.770000001,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,ICW,3963968.5499999993,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,Fergus,59542.2,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,Multistrat Alimco,97819.32,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,RVI,42530.14,Q1 2025 AUM Settlement
2025-07-31,2025-07-03,Gryphon,21265.07,Q1 2025 AUM Settlement
2025-10-31,2025-10-29,Palms,2328062.380000001,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,Ocean,63486.29,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,Hannover,4988705.2,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,ICW,3990964.189999999,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,Fergus,64473.13,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,Multistrat Alimco,105920.14,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,RVI,46052.23,Q2 2025 AUM Settlement
2025-10-31,2025-10-29,Gryphon,23026.12,Q2 2025 AUM Settlement
2026-02-28,2026-02-23,ANIC,352054.71,December 2025 Settlement
2026-02-28,2026-02-24,Palms,2484469.530000001,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Ocean,2034034.6800000009,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Hannover,5323785.369999996,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,ICW,3822601.8300000005,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Fergus,66988.88,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Multistrat Alimco,102773.38,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,RVI,48010.77,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Gryphon,22342.04,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Northern Re,4803.76,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Apollo Syndicate,70108.02,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Allianz,203314.6499999999,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Jaffa,1023348.66,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Northern Re,187333.46,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,IQUW,1154224.6400000001,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,QBE,6005210.859999999,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Multistrat Fermat,1842786.5399999989,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Allianz (ARC),1228812.0699999998,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Fergus,2065998.9700000016,Q3 2025 AUM Settlement
2026-02-28,2026-02-24,Multistrat Alimco,3286432.5799999987,Q3 2025 AUM Settlement
2026-02-28,2026-02-26,Allianz (ARC),5915606.39,Q3 2025 AUM Settlement
2026-02-28,2026-02-18,QBE,-986921.01,Q1 2025 AUM Settlement
2026-02-28,2026-02-18,QBE,-4679504.9,Q2 2025 AUM Settlement
2026-02-28,2026-02-12,Multistrat Fermat,65923.0835410826,Q4 2025 FET
2026-02-28,2026-02-12,Fergus,22001.262479706482,Q4 2025 FET
2026-02-28,2026-02-12,RVI,-146010.800550575,Q4 2025 FET
